Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
PLK1	PLK1	Homo sapiens gene	ENSP00000300093	M	1	M
CCNF	CCNF	Homo sapiens gene	ENSP00000380256	G2	2	
MAPK13	MAPK13	Homo sapiens gene	ENSP00000211287	M	3	G1
AURKA	AURKA	Homo sapiens gene	ENSP00000216911	M	4	G2/M, M
CDCA8	CDCA8	Homo sapiens gene	ENSP00000316121	G2	5	G2/M, M
HJURP	HJURP	Homo sapiens gene	ENSP00000414109	G2	6	G1
CENPE	CENPE	Homo sapiens gene	ENSP00000265148	M	7	G2/M, M
UBE2C	UBE2C	Homo sapiens gene	ENSP00000348838	G2	8	
TPX2	TPX2	Homo sapiens gene	ENSP00000300403	M	9	G2/M, M
KPNA2	KPNA2	Homo sapiens gene	ENSP00000332455	G2/M	10	
KIF23	KIF23	Homo sapiens gene	ENSP00000260363	G2	11	G2/M, M
CKS2	CKS2	Homo sapiens gene	ENSP00000364976	M	12	
DTL	DTL	Homo sapiens gene	ENSP00000355958	G1	13	G2, G2/M, M
TOP2A	TOP2A	Homo sapiens gene	ENSP00000411532	G2	14	
BUB1	BUB1	Homo sapiens gene	ENSP00000302530	M	15	G2/M, M
ARL6IP1	ARL6IP1	Homo sapiens gene	ENSP00000306788	M	16	
CDK1	CDK1	Homo sapiens gene	ENSP00000378699	G2	17	G2, G2/M, M
CCNA2	CCNA2	Homo sapiens gene	ENSP00000274026	G2	18	
CENPF	CENPF	Homo sapiens gene	ENSP00000355922	M	19	
DLGAP5	DLGAP5	Homo sapiens gene	ENSP00000247191	M	20
UBE2S	UBE2S	Homo sapiens gene	ENSP00000264552	M	21	
NUF2	NUF2	Homo sapiens gene	ENSP00000271452	M	22	M
HMMR	HMMR	Homo sapiens gene	ENSP00000377492	M	23	G2/M, M
CDC20	CDC20	Homo sapiens gene	ENSP00000308450	M	24	
ZC3HC1	ZC3HC1	Homo sapiens gene	ENSP00000351052	M	25	
NUSAP1	NUSAP1	Homo sapiens gene	ENSP00000453403	G2	26	G2/M, M
FAM72B	FAM72B	Homo sapiens gene	ENSP00000358397	G2	27	
FAM72A	FAM72A	Homo sapiens gene	ENSP00000356096	G2	28	
LRRC17	LRRC17	Homo sapiens gene	ENSP00000344242	M	29	
KIF11	KIF11	Homo sapiens gene	ENSP00000260731	G2	30	M
FAM64A	FAM64A	Homo sapiens gene	ENSP00000250056	M	31	
NLRP2	NLRP2	Homo sapiens gene	ENSP00000409370	G2	32	
BUB1B	BUB1B	Homo sapiens gene	ENSP00000287598	G2/M	33	
TACC3	TACC3	Homo sapiens gene	ENSP00000326550	G2/M	34	G2/M, M
PIF1	PIF1	Homo sapiens gene	ENSP00000268043	G2	35	
CCNE1	CCNE1	Homo sapiens gene	ENSP00000262643	G1	36	G1
PTTG1	PTTG1	Homo sapiens gene	ENSP00000344936	G1	37	
